transaction_id,date,transaction_type,amount,is_inflow,payment_method,status,reference_number,description,category
-1.0,2019-01-01,,65526.7,0.0,,,-393328.0,,
-2.0,2019-01-01,,69059.04,0.0,,,-347582.0,,
-3.0,2019-01-01,,10025.53,0.0,,,-476096.0,,
-4.0,2019-01-01,,39874.15,0.0,,,-196126.0,,
-5.0,2019-01-01,,64206.28,0.0,,,-925013.0,,
-6.0,2019-01-01,,24432.53,0.0,,,-171942.0,,
-7.0,2019-01-01,,58679.67,0.0,,,-926952.0,,
-8.0,2019-01-01,,27799.76,0.0,,,-362829.0,,
-9.0,2019-01-01,,11081.64,1.0,,,-475644.0,,
-10.0,2019-01-01,,58926.41,1.0,,,-154944.0,,
-11.0,2019-01-01,,74197.63,0.0,,,-166645.0,,
-12.0,2019-01-02,,77823.9,0.0,,,-573962.0,,
-13.0,2019-01-02,,94547.02,1.0,,,-580292.0,,
-14.0,2019-01-02,,6176.46,0.0,,,-819425.0,,
-15.0,2019-01-02,,49077.86,0.0,,,-437758.0,,
-16.0,2019-01-02,,6661.66,0.0,,,-713799.0,,
-17.0,2019-01-02,,38152.35,0.0,,,-575755.0,,
-18.0,2019-01-02,,10007.93,0.0,,,-325468.0,,
-19.0,2019-01-02,,45210.34,0.0,,,-967611.0,,
-20.0,2019-01-02,,39933.15,0.0,,,-427704.0,,
-21.0,2019-01-02,,37492.67,0.0,,,-195656.0,,
-22.0,2019-01-02,,9413.69,0.0,,,-683397.0,,
-23.0,2019-01-02,,58687.86,0.0,,,-802559.0,,
-24.0,2019-01-03,,35424.45,1.0,,,-729575.0,,
-25.0,2019-01-03,,35229.45,0.0,,,-262246.0,,
-26.0,2019-01-03,,22502.06,0.0,,,-485415.0,,
-27.0,2019-01-03,,76284.3,0.0,,,-986209.0,,
-28.0,2019-01-03,,60938.59,0.0,,,-386544.0,,
-29.0,2019-01-03,,92161.6,0.0,,,-250210.0,,
-30.0,2019-01-03,,7051.58,1.0,,,-656251.0,,
-31.0,2019-01-03,,37681.82,0.0,,,-488028.0,,
-32.0,2019-01-03,,72187.44,0.0,,,-155164.0,,
-33.0,2019-01-03,,15825.25,0.0,,,-185544.0,,
-34.0,2019-01-03,,44366.99,1.0,,,-563516.0,,
-35.0,2019-01-04,,21635.34,0.0,,,-550797.0,,
-36.0,2019-01-04,,28396.32,0.0,,,-799539.0,,
-37.0,2019-01-04,,4637.19,1.0,,,-108060.0,,
-38.0,2019-01-04,,30211.79,0.0,,,-403507.0,,
-39.0,2019-01-04,,12086.44,0.0,,,-235461.0,,
-40.0,2019-01-04,,53304.98,0.0,,,-973835.0,,
-41.0,2019-01-04,,7300.34,1.0,,,-582087.0,,
-42.0,2019-01-04,,86224.79,0.0,,,-524068.0,,
-43.0,2019-01-04,,29022.57,1.0,,,-280222.0,,
-44.0,2019-01-05,,8904.18,0.0,,,-717476.0,,
-45.0,2019-01-05,,52443.86,1.0,,,-456005.0,,
-46.0,2019-01-05,,33373.56,0.0,,,-763984.0,,
-47.0,2019-01-05,,53107.42,0.0,,,-862712.0,,
-48.0,2019-01-05,,23703.26,0.0,,,-281926.0,,
-49.0,2019-01-05,,76045.51,0.0,,,-618119.0,,
-50.0,2019-01-05,,75469.14,0.0,,,-691912.0,,
-51.0,2019-01-05,,86438.26,0.0,,,-171603.0,,
-52.0,2019-01-05,,44276.59,0.0,,,-158900.0,,
-53.0,2019-01-05,,50782.95,0.0,,,-139434.0,,
-54.0,2019-01-06,,83186.49,0.0,,,-722937.0,,
-55.0,2019-01-06,,46324.89,0.0,,,-949153.0,,
-56.0,2019-01-06,,32220.52,0.0,,,-164879.0,,
-57.0,2019-01-06,,10439.84,0.0,,,-777513.0,,
-58.0,2019-01-06,,4010.3,0.0,,,-648141.0,,
-59.0,2019-01-06,,36453.41,0.0,,,-912085.0,,
-60.0,2019-01-06,,67921.88,1.0,,,-445705.0,,
-61.0,2019-01-06,,55840.52,1.0,,,-858889.0,,
-62.0,2019-01-06,,33402.87,0.0,,,-425301.0,,
-63.0,2019-01-06,,12982.27,0.0,,,-494976.0,,
-64.0,2019-01-07,,67044.63,0.0,,,-803024.0,,
