transaction_id,date,transaction_type,amount,is_inflow,payment_method,status,reference_number,description,category
TRX-000001,2019-01-01,Interest Payment,65526.7,False,Cash,Pending,REF-393328,Loan interest,Financial Expenses
TRX-000002,2019-01-01,Utility Bill,69059.04,False,Direct Debit,Pending,REF-347582,Internet service,Operating Expenses
TRX-000003,2019-01-01,Equipment Purchase,10025.53,False,Cash,Failed,REF-476096,New pump installation,Capital Expenditure
TRX-000004,2019-01-01,Utility Bill,39874.15,False,Bank Transfer,Pending,REF-196126,Gas bill,Operating Expenses
TRX-000005,2019-01-01,Insurance Premium,64206.28,False,Bank Transfer,Completed,REF-925013,Equipment insurance,Insurance
TRX-000006,2019-01-01,Salary Payment,24432.53,False,Cash,Completed,REF-171942,Overtime payment,Labor Costs
TRX-000007,2019-01-01,Utility Bill,58679.67,False,Check,Completed,REF-926952,Electricity bill,Operating Expenses
TRX-000008,2019-01-01,Salary Payment,27799.76,False,Credit Card,Failed,REF-362829,Overtime payment,Labor Costs
TRX-000009,2019-01-01,Customer Payment,11081.64,True,Credit Card,Completed,REF-475644,Connection fee payment,Revenue
TRX-000010,2019-01-01,Customer Payment,58926.41,True,Credit Card,Pending,REF-154944,Connection fee payment,Revenue
TRX-000011,2019-01-01,Tax Payment,74197.63,False,Bank Transfer,Failed,REF-166645,Environmental tax,Taxes
TRX-000012,2019-01-02,Tax Payment,77823.9,False,Cash,Completed,REF-573962,Income tax,Taxes
TRX-000013,2019-01-02,Customer Payment,94547.02,True,Cash,Pending,REF-580292,Monthly water bill payment,Revenue
TRX-000014,2019-01-02,Interest Payment,6176.46,False,Direct Debit,Pending,REF-819425,Loan interest,Financial Expenses
TRX-000015,2019-01-02,Interest Payment,49077.86,False,Bank Transfer,Completed,REF-437758,Bond interest,Financial Expenses
TRX-000016,2019-01-02,Maintenance Cost,6661.66,False,Cash,Failed,REF-713799,Preventive maintenance,Maintenance
TRX-000017,2019-01-02,Insurance Premium,38152.35,False,Cash,Pending,REF-575755,Employee insurance,Insurance
TRX-000018,2019-01-02,Supplier Payment,10007.93,False,Cash,Failed,REF-325468,Office supplies,Operating Expenses
TRX-000019,2019-01-02,Utility Bill,45210.34,False,Direct Debit,Pending,REF-967611,Phone service,Operating Expenses
TRX-000020,2019-01-02,Supplier Payment,39933.15,False,Check,Pending,REF-427704,Maintenance materials,Operating Expenses
TRX-000021,2019-01-02,Salary Payment,37492.67,False,Direct Debit,Completed,REF-195656,Monthly salary payment,Labor Costs
TRX-000022,2019-01-02,Supplier Payment,9413.69,False,Check,Completed,REF-683397,Equipment parts purchase,Operating Expenses
TRX-000023,2019-01-02,Tax Payment,58687.86,False,Cash,Pending,REF-802559,Property tax,Taxes
TRX-000024,2019-01-03,Service Fee,35424.45,True,Bank Transfer,Pending,REF-729575,Maintenance service,Operating Expenses
TRX-000025,2019-01-03,Insurance Premium,35229.45,False,Cash,Completed,REF-262246,Employee insurance,Insurance
TRX-000026,2019-01-03,Supplier Payment,22502.06,False,Check,Failed,REF-485415,Equipment parts purchase,Operating Expenses
TRX-000027,2019-01-03,Insurance Premium,76284.3,False,Credit Card,Pending,REF-986209,Property insurance,Insurance
TRX-000028,2019-01-03,Maintenance Cost,60938.59,False,Bank Transfer,Completed,REF-386544,Preventive maintenance,Maintenance
TRX-000029,2019-01-03,Equipment Purchase,92161.6,False,Bank Transfer,Completed,REF-250210,Office equipment,Capital Expenditure
TRX-000030,2019-01-03,Customer Payment,7051.58,True,Bank Transfer,Failed,REF-656251,Connection fee payment,Revenue
TRX-000031,2019-01-03,Interest Payment,37681.82,False,Check,Completed,REF-488028,Credit line interest,Financial Expenses
TRX-000032,2019-01-03,Insurance Premium,72187.44,False,Cash,Completed,REF-155164,Liability insurance,Insurance
TRX-000033,2019-01-03,Insurance Premium,15825.25,False,Bank Transfer,Failed,REF-185544,Equipment insurance,Insurance
TRX-000034,2019-01-03,Service Fee,44366.99,True,Direct Debit,Failed,REF-563516,Audit service,Operating Expenses
TRX-000035,2019-01-04,Tax Payment,21635.34,False,Bank Transfer,Pending,REF-550797,Property tax,Taxes
TRX-000036,2019-01-04,Insurance Premium,28396.32,False,Direct Debit,Failed,REF-799539,Equipment insurance,Insurance
TRX-000037,2019-01-04,Service Fee,4637.19,True,Cash,Completed,REF-108060,Training service,Operating Expenses
TRX-000038,2019-01-04,Utility Bill,30211.79,False,Credit Card,Pending,REF-403507,Internet service,Operating Expenses
TRX-000039,2019-01-04,Interest Payment,12086.44,False,Direct Debit,Completed,REF-235461,Mortgage interest,Financial Expenses
TRX-000040,2019-01-04,Utility Bill,53304.98,False,Cash,Failed,REF-973835,Internet service,Operating Expenses
TRX-000041,2019-01-04,Customer Payment,7300.34,True,Direct Debit,Completed,REF-582087,Monthly water bill payment,Revenue
TRX-000042,2019-01-04,Insurance Premium,86224.79,False,Direct Debit,Failed,REF-524068,Employee insurance,Insurance
TRX-000043,2019-01-04,Service Fee,29022.57,True,Bank Transfer,Pending,REF-280222,Audit service,Operating Expenses
TRX-000044,2019-01-05,Supplier Payment,8904.18,False,Credit Card,Pending,REF-717476,Office supplies,Operating Expenses
TRX-000045,2019-01-05,Service Fee,52443.86,True,Check,Failed,REF-456005,Training service,Operating Expenses
TRX-000046,2019-01-05,Salary Payment,33373.56,False,Bank Transfer,Failed,REF-763984,Monthly salary payment,Labor Costs
TRX-000047,2019-01-05,Utility Bill,53107.42,False,Check,Pending,REF-862712,Gas bill,Operating Expenses
TRX-000048,2019-01-05,Salary Payment,23703.26,False,Check,Completed,REF-281926,Overtime payment,Labor Costs
TRX-000049,2019-01-05,Supplier Payment,76045.51,False,Credit Card,Failed,REF-618119,Office supplies,Operating Expenses
TRX-000050,2019-01-05,Insurance Premium,75469.14,False,Direct Debit,Failed,REF-691912,Equipment insurance,Insurance
TRX-000051,2019-01-05,Equipment Purchase,86438.26,False,Credit Card,Pending,REF-171603,Office equipment,Capital Expenditure
TRX-000052,2019-01-05,Maintenance Cost,44276.59,False,Check,Failed,REF-158900,Preventive maintenance,Maintenance
TRX-000053,2019-01-05,Maintenance Cost,50782.95,False,Direct Debit,Pending,REF-139434,Equipment maintenance,Maintenance
TRX-000054,2019-01-06,Supplier Payment,83186.49,False,Bank Transfer,Failed,REF-722937,Office supplies,Operating Expenses
TRX-000055,2019-01-06,Tax Payment,46324.89,False,Bank Transfer,Pending,REF-949153,Income tax,Taxes
