project_id,project_name,project_type,start_date,planned_end_date,actual_end_date,base_budget,contingency_budget,total_budget,actual_cost,progress_percentage,status,priority,risk_level,benefits_realized,key_milestones,stakeholders
CAPEX-000001,Technology Implementation Project 1,Technology Implementation,2019-01-15,2019-12-11,2019-12-11,3857800.68,257619.74,4115420.42,4319484.08,92.14,Completed,High,Medium,"[""Improved operational efficiency"", ""Reduced maintenance costs"", ""Increased capacity""]","[""Commissioning"", ""Installation completed"", ""Staff training"", ""Design phase completed"", ""Project planning completed"", ""Equipment procurement""]","[""Environmental Team"", ""Operations Team"", ""Regulatory Bodies"", ""Safety Department"", ""Local Community""]"
CAPEX-000002,Infrastructure Upgrade Project 2,Infrastructure Upgrade,2019-02-11,2020-10-03,,2199052.26,191443.09,2390495.35,2314588.12,90.12,On Track,Medium,Low,"[""Improved customer service"", ""Technology advancement"", ""Better environmental compliance"", ""Enhanced safety measures""]","[""Equipment procurement"", ""Staff training"", ""Testing phase"", ""Project handover"", ""Installation completed""]","[""Local Community"", ""Contractors"", ""Regulatory Bodies"", ""Customer Service""]"
CAPEX-000003,Facility Expansion Project 3,Facility Expansion,2019-02-10,2019-12-07,,4170581.99,244672.57,4415254.56,4189072.94,97.63,On Track,Low,High,"[""Cost savings"", ""Reduced maintenance costs"", ""Improved operational efficiency"", ""Better environmental compliance"", ""Technology advancement""]","[""Project handover"", ""Design phase completed"", ""Equipment procurement"", ""Staff training""]","[""Customer Service"", ""Contractors"", ""Regulatory Bodies"", ""Safety Department""]"
CAPEX-000004,Infrastructure Upgrade Project 4,Infrastructure Upgrade,2019-02-16,2019-11-13,,519503.51,63383.31,582886.82,612982.98,89.77,On Track,Low,High,"[""Technology advancement"", ""Cost savings"", ""Improved operational efficiency"", ""Improved customer service""]","[""Installation completed"", ""Project handover"", ""Staff training"", ""Design phase completed"", ""Equipment procurement""]","[""Regulatory Bodies"", ""Environmental Team"", ""Customer Service"", ""Contractors"", ""Safety Department""]"
CAPEX-000005,Safety Enhancement Project 5,Safety Enhancement,2019-02-23,2020-10-15,2020-10-15,1720877.36,206996.58,1927873.94,1832021.46,85.42,Completed,Low,Low,"[""Enhanced safety measures"", ""Improved customer service"", ""Increased capacity"", ""Technology advancement""]","[""Installation completed"", ""Staff training"", ""Project handover"", ""Equipment procurement""]","[""Customer Service"", ""Operations Team"", ""Maintenance Team"", ""Safety Department"", ""Regulatory Bodies""]"
CAPEX-000006,Environmental Compliance Project 6,Environmental Compliance,2019-02-05,2020-01-31,2020-01-31,169327.0,17510.7,186837.7,204560.93,85.49,Completed,Low,Low,"[""Technology advancement"", ""Improved operational efficiency"", ""Cost savings"", ""Increased capacity"", ""Reduced maintenance costs""]","[""Project handover"", ""Installation completed"", ""Equipment procurement"", ""Design phase completed"", ""Project planning completed""]","[""Contractors"", ""Operations Team"", ""Local Community"", ""Environmental Team""]"
CAPEX-000007,Treatment Plant Modernization Project 7,Treatment Plant Modernization,2019-03-20,2021-02-07,2021-02-07,3463609.99,225732.82,3689342.81,4020738.5,96.22,Completed,High,Low,"[""Cost savings"", ""Increased capacity"", ""Technology advancement"", ""Improved customer service"", ""Enhanced safety measures""]","[""Commissioning"", ""Installation completed"", ""Project handover"", ""Equipment procurement"", ""Staff training"", ""Design phase completed""]","[""Operations Team"", ""Customer Service"", ""Regulatory Bodies"", ""Contractors"", ""Maintenance Team""]"
CAPEX-000008,Technology Implementation Project 8,Technology Implementation,2019-03-10,2021-02-27,,497818.58,36831.86,534650.44,497923.45,91.04,On Track,Medium,High,"[""Technology advancement"", ""Reduced maintenance costs"", ""Improved operational efficiency"", ""Enhanced safety measures"", ""Cost savings""]","[""Testing phase"", ""Staff training"", ""Installation completed"", ""Project planning completed"", ""Design phase completed"", ""Commissioning""]","[""Environmental Team"", ""Contractors"", ""Operations Team"", ""Customer Service"", ""Maintenance Team""]"
CAPEX-000009,Distribution Network Improvement Project 9,Distribution Network Improvement,2019-03-31,2020-02-24,2020-02-24,4150492.68,237163.23,4387655.92,4218829.28,83.32,Completed,Medium,Low,"[""Increased capacity"", ""Improved customer service"", ""Better environmental compliance"", ""Reduced maintenance costs""]","[""Project handover"", ""Installation completed"", ""Project planning completed"", ""Testing phase"", ""Staff training"", ""Design phase completed""]","[""Regulatory Bodies"", ""Customer Service"", ""Safety Department"", ""Operations Team"", ""Local Community""]"
CAPEX-000010,Technology Implementation Project 10,Technology Implementation,2019-04-01,2021-03-21,2021-03-21,4196197.21,451174.75,4647371.96,5111711.73,99.02,Completed,Low,Low,"[""Technology advancement"", ""Increased capacity"", ""Improved customer service""]","[""Testing phase"", ""Design phase completed"", ""Project handover"", ""Installation completed"", ""Staff training""]","[""Contractors"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000011,Environmental Compliance Project 11,Environmental Compliance,2019-04-22,2019-10-19,,4302892.16,357055.57,4659947.73,4462568.93,93.87,On Track,Low,Low,"[""Enhanced safety measures"", ""Reduced maintenance costs"", ""Cost savings"", ""Improved customer service""]","[""Commissioning"", ""Project handover"", ""Testing phase"", ""Project planning completed""]","[""Contractors"", ""Environmental Team"", ""Operations Team"", ""Maintenance Team"", ""Safety Department""]"
CAPEX-000012,Automation Project Project 12,Automation Project,2019-04-21,2020-09-12,,3823953.63,269037.41,4092991.03,4443083.19,90.98,On Track,Low,Medium,"[""Improved operational efficiency"", ""Improved customer service"", ""Increased capacity""]","[""Equipment procurement"", ""Project handover"", ""Testing phase"", ""Project planning completed""]","[""Local Community"", ""Operations Team"", ""Maintenance Team"", ""Contractors"", ""Environmental Team""]"
CAPEX-000013,Treatment Plant Modernization Project 13,Treatment Plant Modernization,2019-04-21,2019-11-17,,2542039.97,309265.43,2851305.4,2722098.44,90.18,On Track,Medium,Low,"[""Reduced maintenance costs"", ""Better environmental compliance"", ""Enhanced safety measures"", ""Increased capacity""]","[""Equipment procurement"", ""Commissioning"", ""Project planning completed"", ""Project handover"", ""Installation completed"", ""Design phase completed""]","[""Customer Service"", ""Local Community"", ""Operations Team"", ""Safety Department"", ""Contractors""]"
CAPEX-000014,Automation Project Project 14,Automation Project,2019-05-28,2019-12-24,,2288082.23,225225.4,2513307.63,2645443.61,86.65,On Track,Medium,Medium,"[""Better environmental compliance"", ""Increased capacity"", ""Technology advancement""]","[""Commissioning"", ""Project planning completed"", ""Equipment procurement"", ""Installation completed""]","[""Local Community"", ""Environmental Team"", ""Regulatory Bodies"", ""Maintenance Team"", ""Contractors""]"
CAPEX-000015,Infrastructure Upgrade Project 15,Infrastructure Upgrade,2019-05-05,2020-11-25,2020-11-25,4830232.59,401872.79,5232105.39,5593161.91,82.01,Completed,Low,Medium,"[""Reduced maintenance costs"", ""Better environmental compliance"", ""Improved customer service""]","[""Design phase completed"", ""Installation completed"", ""Equipment procurement"", ""Staff training""]","[""Local Community"", ""Regulatory Bodies"", ""Operations Team"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000016,Environmental Compliance Project 16,Environmental Compliance,2019-05-21,2020-11-11,2020-11-11,4374676.79,234438.54,4609115.32,4730022.57,81.37,Completed,High,High,"[""Cost savings"", ""Improved operational efficiency"", ""Improved customer service""]","[""Design phase completed"", ""Installation completed"", ""Project handover"", ""Equipment procurement"", ""Project planning completed"", ""Commissioning""]","[""Operations Team"", ""Safety Department"", ""Local Community"", ""Regulatory Bodies""]"
CAPEX-000017,Safety Enhancement Project 17,Safety Enhancement,2019-05-05,2020-02-29,2020-02-29,2702714.96,288089.97,2990804.93,2793402.02,95.85,Completed,Low,Medium,"[""Better environmental compliance"", ""Technology advancement"", ""Increased capacity"", ""Enhanced safety measures"", ""Improved customer service""]","[""Testing phase"", ""Installation completed"", ""Equipment procurement"", ""Project planning completed"", ""Commissioning""]","[""Safety Department"", ""Operations Team"", ""Environmental Team"", ""Contractors""]"
CAPEX-000018,Facility Expansion Project 18,Facility Expansion,2019-05-21,2020-09-12,,3482536.21,333221.54,3815757.75,4196855.46,86.04,On Track,High,Low,"[""Improved customer service"", ""Increased capacity"", ""Reduced maintenance costs"", ""Technology advancement""]","[""Commissioning"", ""Equipment procurement"", ""Project planning completed"", ""Testing phase""]","[""Operations Team"", ""Customer Service"", ""Regulatory Bodies"", ""Environmental Team"", ""Safety Department""]"
CAPEX-000019,Environmental Compliance Project 19,Environmental Compliance,2019-06-07,2021-04-27,2021-04-27,1031646.75,77438.17,1109084.92,1168414.48,95.11,Completed,Low,Low,"[""Improved operational efficiency"", ""Reduced maintenance costs"", ""Better environmental compliance"", ""Technology advancement"", ""Cost savings""]","[""Equipment procurement"", ""Project planning completed"", ""Project handover"", ""Staff training"", ""Installation completed"", ""Commissioning""]","[""Safety Department"", ""Local Community"", ""Customer Service""]"
